airtable_record_id,webflow_item_id,current_slug,name
recBSqD5YPw4EIODk,6a4cb9b1c4a61c3b9661aa90,emery-embroidered-midi-dress,Emery Embroidered Midi Dress
recBSuMUMQpJCQUiH,6a201b97f015a9e17b579a5f,sidi-shirtdress,Sidi Shirtdress
recBUiBbLJg4ro7N4,6a4cb9b6f308076f0236fa55,inez-pant,Inez Pant
recBUtTBMI3bnq2qq,6a4cb9b9b911575afc0581c3,lovella-shirt,Lovella Shirt
recBV9rIE9sTZSEL4,6a4cb9bc549d7ebdad7300db,timmy-embroidered-sarong-skirt,Timmy Embroidered Sarong Skirt
recBVLbc0P6YCzhT8,6a3c683da79620ef9ab4d84c,aria-tie-neck-midi-dress,Aria Tie Neck Midi Dress
recBWGXnKfajKr8vK,6a4cb9c187059472440f99bd,winn-cropped-trench-savana,Winn Cropped Trench - Savana
recBWVDIv29hNMzxW,6a4cb9c3bf6b1471ff62d919,carta-blouse-painterly-border,Carta Blouse - Painterly Border
recBX2SqVCjnLgQvR,6a201b98f015a9e17b579b78,dusk-knot-puff-sleeve-mini-dress-blush,Dusk Knot Puff Sleeve Mini Dress - Blush
recBXfvKKOViqDGzB,6a4cb9c78baefc5c5df9b94f,dixie-summer-dress,Dixie Summer Dress
recBYlfY90rJVMPRq,6a4cb9cabf6b1471ff62de8c,amity-beaded-oversized-tee-white-black,Amity Beaded Oversized Tee - White Black
recBZOJEZxfgrNFuZ,6a4cb9cc5d899b065cfa0290,vito-ballet-sundress,Vito Ballet Sundress
recBZqTiQsMVgoeJG,6a4cb9cfc8747c691e5b3936,leandra-corded-blazer,Leandra Corded Blazer
recBZzfPF2oqjtPED,6a3c68412c938ebada04766e,boa-denim-micro-short,Boa Denim Micro Short
recBacyeYEvylyLTO,6a4cb9d48e0ca723dcda9b60,rhea-corset-short,Rhea Corset Short
recBcGV1qoMRJyDTd,6a42da497af708b466a28e35,sarte-tiered-maxi-dress-chartreuse,Sarte Tiered Maxi Dress - Chartreuse 
recBcr6K3JryoS9i3,6a201b9b1634b883cbd646b4,alby-terry-shirt,Alby Terry Shirt
recBeQDLyrGa9JXxf,6a201b9ef015a9e17b57a05d,kindred-frill-mini-dress-lilac,Kindred Frill Mini Dress - Lilac
recBeVjzYsuPbcuGs,6a4cb9dec6bb0833b70c7bdc,scarlett-top-black,Scarlett Top - Black
recBfTHDZJ9kRLj1c,6a42da4f25eec5bd3dd988cf,penelope-crochet-tee,Penelope Crochet Tee
recBjCPmQU7vdKdAo,6a31be00ba843f5169d3d7b8,serpentine-mini-skirt-snake-effect,Serpentine Mini Skirt - Snake Effect
recBjXiljOiYyyuVe,6a44553346853063b0023cb2,rafaela-shirtdress,Rafaela Shirtdress
recBlHlfI7eYUBzfB,6a29f997c9d12db63c085625,gretta-bow-back-mini-dress-vivid-camellia,Gretta Bow Back Mini Dress - Vivid Camellia
recBm2lrWbtrG1vQN,6a4455355e773093da935228,sandy-embroidered-shirtdress,Sandy Embroidered Shirtdress
recBm53jmt6QR2doI,6a201ba1ae8aa515a543bb6d,poppy-spliced-midi-dress,Poppy Spliced Midi Dress
recBmB4Egj9urRwZP,6a39352ecf3664c2de957119,unlace-smock-dress-veiled-pear,Unlace Smock Dress - Veiled Pear
recBmRDZA8od0aGhT,6a4cb9f0f308076f02371bee,odie-embroidered-shirt,Odie Embroidered Shirt
recBn5ZbA1DemWT6Z,6a4cb9f233387d636548d112,palmer-striped-shirt-chocolate-stripe,Palmer Striped Shirt - Chocolate Stripe
recBnlaDZasUONoyP,6a4cb9f487059472440fb09e,saige-corset-knit-jumper-black,Saige Corset Knit Jumper - Black
recBo6wftze3CkZap,6a4cb9f8b911575afc05b215,flora-midi-skirt-prismatic-floral-red,Flora Midi Skirt - Prismatic Floral Red
recBoqSBXVFqhingN,6a201ba4fc6ea43fbc0c4d4b,laurier-wave-crop-top-ballet-pink,Laurier Wave Crop Top - Ballet Pink
recBqcG4kCEdefk1y,6a201ba79d5f191738f457e5,equation-knit-crew-jumper-black-white,Equation Knit Crew Jumper - Black White
recBr6UqFV7ce8jvc,6a42da5ca1b5e866da0cacaa,flourisher-braided-mini-dress-natural-beige,Flourisher Braided Mini Dress - Natural Beige
recBsoIUyLTVJasKq,6a439e2acc993008cce1ff9f,francine-trench-coat-black,Francine Trench Coat - Black
